127.0.0.1 - - [09/Nov/2022:10:11:36 +0900] "GET / HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:11:39 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:11:39 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:11:53 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:11:53 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:11:59 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:11:59 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:12:03 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:12:03 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:12:11 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:12:11 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:12:56 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:12:56 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:13:00 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:13:18 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:13:18 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:14:57 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:14:58 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:15:18 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:15:18 +0900] "GET /favicon.ico HTTP/1.1" 404 819
